Instance	Number-of-Services	Real-Services	Fake-Services	Number-of-Employees	Total-Agents	Working-Agents	%Working-Agents	Total-Drivers	Total-Managers	Total-RampManagers	Algorithm	Productivity-UT	Real-Productivity-UT	P.UT-Agent	P.UT-Driver	P.UT-RampManager	P.UT-Manager	Work-Productivity	Real-Work-Productivity	WP-Agent	WP-Driver	WP-RampManager	WP-Manager	Execution-Time(ms)	Covered-Services(%)	Covered-Services	Active-Work-Productivity
SPC-0.9-agents0015-timePerDay08-instance0001.json	549	521	28	19	15	15	100,000	2	2	0	randomSolver	74,702	69,642	66,326	71,429	0,000	71,429	49,342	36,184	45,833	62,500	0,000	62,500	10,817	63,752	350	49,342
SPC-0.9-agents0015-timePerDay08-instance0001.json	549	521	28	19	15	15	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	4,276	1,645	2,083	12,500	0,000	12,500	2,378	3,461	19	4,276
SPC-0.9-agents0015-timePerDay08-instance0001.json	549	521	28	19	15	15	100,000	2	2	0	compactingSolver	80,849	77,019	73,351	71,429	0,000	71,429	53,838	40,680	51,528	62,500	0,000	62,500	15,716	71,220	391	53,838
MAD-0.75-agents0270-timePerDay06-instance0002.json	6129	5938	191	362	270	270	100,000	54	19	19	randomSolver	80,759	76,058	66,938	64,190	68,860	69,956	41,948	30,825	41,328	41,580	46,875	46,875	3614,474	78,023	4782	41,948
MAD-0.75-agents0270-timePerDay06-instance0002.json	6129	5938	191	362	270	270	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	10,480	1,813	2,431	32,147	36,595	37,171	476,795	6,445	395	10,480
MAD-0.75-agents0270-timePerDay06-instance0002.json	6129	5938	191	362	270	270	100,000	54	19	19	compactingSolver	92,654	90,990	69,464	58,441	71,053	71,053	50,435	39,312	52,707	41,580	46,875	46,875	2157,509	98,646	6046	50,999
TFS-0.75-agents0040-timePerDay04-instance0003.json	1591	1488	103	78	40	40	100,000	27	11	0	randomSolver	94,963	91,659	88,385	81,387	0,000	90,538	55,655	31,090	60,625	46,693	0,000	59,578	110,990	43,055	685	55,655
TFS-0.75-agents0040-timePerDay04-instance0003.json	1591	1488	103	78	40	40	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	9,051	2,137	4,167	10,979	0,000	22,078	17,382	4,840	77	9,051
TFS-0.75-agents0040-timePerDay04-instance0003.json	1591	1488	103	78	40	40	100,000	27	11	0	compactingSolver	95,406	93,099	84,454	68,924	0,000	86,240	54,831	30,449	59,375	46,693	0,000	58,279	85,262	42,238	672	57,794
MAD-0.75-agents0270-timePerDay04-instance0008.json	6129	5938	191	362	270	270	100,000	54	19	19	randomSolver	90,912	88,931	78,268	64,429	67,763	69,956	45,607	34,484	46,235	41,580	46,875	46,875	1657,376	58,982	3615	45,607
